110282_311.obj,E,18,56
110284_110.obj,E,51,12
110286_215.obj,E,56,4
110286_217.obj,E,28,31
210716_156.obj,E,26,23
210716_551.obj,E,34,31
210716_553.obj,E,41,16
210716_556.obj,E,47,21
210716_559.obj,E,37,17
210720_151.obj,E,41,26
210723_621 bq.obj,E,26,73
210723_622 bj.obj,E,39,7
210729_K110255-119.obj,E,49,6
210730_556.obj,E,24,34
210731_621.obj,E,30,30
210806_621 BT.obj,E,28,35
210812_553.obj,E,30,57
210812_567.obj,E,22,43
210812_574.obj,E,55,25
210812_576.obj,E,33,12
210812_577.obj,E,41,24
210817_163.obj,E,59,2
210817_554.obj,E,35,42
210817_555.obj,E,34,20
210817_556.obj,E,31,31
210817_557.obj,E,46,31
210825_110.obj,E,85,8
210825_215.obj,E,20,25
210825_216.obj,E,43,9
210825_217.obj,E,49,8
210825_311.obj,E,28,41
210830_115.obj,E,21,46
210830_220.obj,E,22,37
210908_113.obj,E,54,16
210908_211.obj,E,35,18
210909_311.obj,E,49,39
210923_311.obj,E,48,64
K110258_211.obj,E,33,42
K110283_212.obj,E,37,13
K110284_213.obj,E,33,37
K110291_310.obj,E,54,11
K110292_311.obj,E,25,23
K110303_214.obj,E,41,14
110282_311.obj,E,18,56
110284_110.obj,E,51,12
110286_215.obj,E,56,4
110286_217.obj,E,28,31
210716_156.obj,E,26,23
210716_551.obj,E,34,31
210716_553.obj,E,41,16
210716_556.obj,E,47,21
210716_559.obj,E,37,17
210720_151.obj,E,41,26
210723_621 bq.obj,E,26,73
210723_622 bj.obj,E,39,7
210729_K110255-119.obj,E,49,6
210730_556.obj,E,24,34
210731_621.obj,E,30,30
210806_621 BT.obj,E,28,35
210812_553.obj,E,30,57
210812_567.obj,E,22,43
210812_574.obj,E,55,25
210812_576.obj,E,33,12
210812_577.obj,E,41,24
210817_163.obj,E,59,2
210817_554.obj,E,35,42
210817_555.obj,E,34,20
210817_556.obj,E,31,31
210817_557.obj,E,46,31
210825_110.obj,E,85,8
210825_215.obj,E,20,25
210825_216.obj,E,43,9
210825_217.obj,E,49,8
210825_311.obj,E,28,41
210830_115.obj,E,21,46
210830_220.obj,E,22,37
210908_113.obj,E,54,16
210908_211.obj,E,35,18
210909_311.obj,E,49,39
210923_311.obj,E,48,64
K110258_211.obj,E,33,42
K110283_212.obj,E,37,13
K110284_213.obj,E,33,37
K110291_310.obj,E,54,11
K110292_311.obj,E,25,23
K110303_214.obj,E,41,14
110266_116.obj,D,56,2
110282_214.obj,D,36,39
110284_119.obj,D,66,3
110287_113.obj,D,51,0
210713_151-1A_T1.obj,D,79,2
210713_155_T1.obj,D,62,0
210713_552AB_T1.obj,D,79,0
210714_152.obj,D,40,2
210714_158A.obj,D,24,34
210716_154.obj,D,42,2
210716_156-2.obj,D,79,5
210716_156-3.obj,D,66,2
210720_152.obj,D,57,8
210720_551.obj,D,59,2
210729_K110255-112A.obj,D,37,0
210729_K110255-114.obj,D,53,1
210729_K110255-115.obj,D,37,44
210729_K110255-118.obj,D,63,2
210729_K110255-120A.obj,D,46,0
210730_552.obj,D,64,0
210818_153.obj,D,51,3
210818_552.obj,D,42,7
210825_118.obj,D,65,3
210826_113.obj,D,46,0
210826_114.obj,D,61,0
210826_116.obj,D,46,2
210826_213.obj,D,75,1
210830_112.obj,D,75,10
210831_211.obj,D,47,0
210903_112.obj,D,74,13
210903_115.obj,D,51,1
210903_116.obj,D,38,2
210903_212.obj,D,60,7
210907_113.obj,D,69,3
210907_216.obj,D,58,12
210908_114.obj,D,73,2
210908_115.obj,D,20,56
210909_216.obj,D,61,2
K110274_216.obj,D,66,0
K110293_115.obj,D,31,62
K110295_117.obj,D,49,0
K110296_118.obj,D,35,0
K110297_119.obj,D,64,0
K110298_120.obj,D,63,3
